"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"GRM5",9.7638661687105e-05,NA,NA,1
"CYP1A2",3.79336865153901e-05,NA,NA,2
"MMP1",0.00112568778632216,NA,NA,3
"CYP1A1",4.11483175254412e-05,NA,NA,4
"ADRB2",5.20800805603461e-05,NA,NA,5
"MAP1LC3B",7.2780883846546e-05,NA,NA,6
"APOA1",5.65814467218262e-05,NA,NA,7
"PARK7",0.000125159278041354,NA,NA,8
"CANX",0.000161811347513585,NA,NA,9
"SLC2A4",4.22233359866908e-05,NA,NA,10
"CTSD",0.000113197339652316,NA,NA,11
"CALM1",9.49428996669388e-05,NA,NA,12
"CYP2E1",6.15085839639207e-05,NA,NA,13
"ADRB2",5.20800805603461e-05,NA,NA,14
"CALM1",9.49428996669388e-05,NA,NA,15
"HSPA1B",9.1516909711431e-05,NA,NA,16
"CEBPA",5.61535696400606e-05,NA,NA,17
"CS",0.000115296591699177,NA,NA,18
"APOA1",5.65814467218262e-05,NA,NA,19
"CANX",0.000161811347513585,NA,NA,20
"CEBPA",5.61535696400606e-05,NA,NA,21
"NTRK2",8.5086986117977e-05,NA,NA,22
"TAC1",5.01508124960415e-05,NA,NA,23
"ABCG2",4.86503972633168e-05,NA,NA,24
"CACNA1C",8.80796438891274e-05,NA,NA,25
"BTK",8.6796302197989e-05,NA,NA,26
"SLC2A4",4.22233359866908e-05,NA,NA,27
"CYP2E1",6.15085839639207e-05,NA,NA,28
"YWHAZ",9.83771752601781e-05,NA,NA,29
"CALM1",9.49428996669388e-05,NA,NA,30
"TAC1",5.01508124960415e-05,NA,NA,31
"IDO1",0.000131159025303029,NA,NA,32
"TJP1",6.3868574422532e-05,NA,NA,33
"IDO1",0.000131159025303029,NA,NA,34
"CTSD",0.000113197339652316,NA,NA,35
"NPY",9.64428987118016e-05,NA,NA,36
"CEBPA",5.61535696400606e-05,NA,NA,37
"COMT",0.000145520589089676,NA,NA,38
"YWHAZ",9.83771752601781e-05,NA,NA,39
"PPP2CA",8.63692888484202e-05,NA,NA,40
"CEBPA",5.61535696400606e-05,NA,NA,41
"CTSD",0.000113197339652316,NA,NA,42
"CALR",5.72247856440722e-05,NA,NA,43
"TJP1",6.3868574422532e-05,NA,NA,44
"CYP19A1",0.000105015150690835,NA,NA,45
"HSPA1B",9.1516909711431e-05,NA,NA,46
"TH",6.45114498607491e-05,NA,NA,47
"NPPA",6.87940324639591e-05,NA,NA,48
"NTRK2",8.5086986117977e-05,NA,NA,49
"YWHAE",5.27209089691283e-05,NA,NA,50
"SLC2A4",4.22233359866908e-05,NA,NA,51
"TJP1",6.3868574422532e-05,NA,NA,52
"CALR",5.72247856440722e-05,NA,NA,53
"CS",0.000115296591699177,NA,NA,54
"CYP2C9",5.56338081605379e-05,NA,NA,55
"HSPA1B",9.1516909711431e-05,NA,NA,56
"CYP1A2",3.79336865153901e-05,NA,NA,57
"GRIA1",8.78669575971047e-05,NA,NA,58
"PPP2CA",8.63692888484202e-05,NA,NA,59
"PPARD",6.49401391202842e-05,NA,NA,60
"PRL",0.000111829820473308,NA,NA,61
"ITPR1",8.97971493164507e-05,NA,NA,62
"NTRK2",8.5086986117977e-05,NA,NA,63
"GRIA1",8.78669575971047e-05,NA,NA,64
"PLG",8.89853153691611e-05,NA,NA,65
"PLG",8.89853153691611e-05,NA,NA,66
"GRM5",9.7638661687105e-05,NA,NA,67
"ABCG2",4.86503972633168e-05,NA,NA,68
"CANX",0.000161811347513585,NA,NA,69
"SLC6A3",3.24894408255672e-05,NA,NA,70
"AGTR1",4.39355596961732e-05,NA,NA,71
"NPPA",6.87940324639591e-05,NA,NA,72
"MAOB",4.47928869068415e-05,NA,NA,73
"TJP1",6.3868574422532e-05,NA,NA,74
"ITPR1",8.97971493164507e-05,NA,NA,75
"MAOA",7.02974228240505e-05,NA,NA,76
"COMT",0.000145520589089676,NA,NA,77
"CS",0.000115296591699177,NA,NA,78
"CYP1A1",4.11483175254412e-05,NA,NA,79
"ABCG2",4.86503972633168e-05,NA,NA,80
"BTK",8.6796302197989e-05,NA,NA,81
"MMP1",0.00112568778632216,NA,NA,82
"GSTP1",0.000136944777868409,NA,NA,83
"YWHAE",5.27209089691283e-05,NA,NA,84
"ADRB2",5.20800805603461e-05,NA,NA,85
"CYP1A1",4.11483175254412e-05,NA,NA,86
"GRIA1",8.78669575971047e-05,NA,NA,87
"CALR",5.72247856440722e-05,NA,NA,88
"CANX",0.000161811347513585,NA,NA,89
"NR1H4",0.000117787614277276,NA,NA,90
"ABCB1",6.2153768681128e-05,NA,NA,91
"CYP1A1",4.11483175254412e-05,NA,NA,92
"NR1H4",0.000117787614277276,NA,NA,93
"GRIN2A",3.25745715548109e-05,NA,NA,94
"PROM1",8.72252997797807e-05,NA,NA,95
"CALM1",9.49428996669388e-05,NA,NA,96
"APOA1",5.65814467218262e-05,NA,NA,97
"CYP2E1",6.15085839639207e-05,NA,NA,98
"GRIN2A",3.25745715548109e-05,NA,NA,99
"SLC6A3",3.24894408255672e-05,NA,NA,100
"CYP1A2",3.79336865153901e-05,NA,NA,101
"ACACA",4.84337842884264e-05,NA,NA,102
"MMP1",0.00112568778632216,NA,NA,103
"GSTP1",0.000136944777868409,NA,NA,104
"CALR",5.72247856440722e-05,NA,NA,105
"COMT",0.000145520589089676,NA,NA,106
"PPP2CA",8.63692888484202e-05,NA,NA,107
"NPY",9.64428987118016e-05,NA,NA,108
"CACNA1C",8.80796438891274e-05,NA,NA,109
"GRIA1",8.78669575971047e-05,NA,NA,110
"GJA1",9.53745200928946e-05,NA,NA,111
"ADRB2",5.20800805603461e-05,NA,NA,112
"PLG",8.89853153691611e-05,NA,NA,113
"ACACA",4.84337842884264e-05,NA,NA,114
"ADRB2",5.20800805603461e-05,NA,NA,115
"PRL",0.000111829820473308,NA,NA,116
"TJP1",6.3868574422532e-05,NA,NA,117
"CTSD",0.000113197339652316,NA,NA,118
"TJP1",6.3868574422532e-05,NA,NA,119
"ABCB1",6.2153768681128e-05,NA,NA,120
"CYP1A1",4.11483175254412e-05,NA,NA,121
"CYP2C9",5.56338081605379e-05,NA,NA,122
"PRL",0.000111829820473308,NA,NA,123
"ACLY",9.27946278737046e-05,NA,NA,124
"SLC6A3",3.24894408255672e-05,NA,NA,125
"CYP2C9",5.56338081605379e-05,NA,NA,126
"CYP2E1",6.15085839639207e-05,NA,NA,127
"MAOA",7.02974228240505e-05,NA,NA,128
"SLC6A3",3.24894408255672e-05,NA,NA,129
"CEBPA",5.61535696400606e-05,NA,NA,130
"BTK",8.6796302197989e-05,NA,NA,131
"CTSD",0.000113197339652316,NA,NA,132
"GSTP1",0.000136944777868409,NA,NA,133
"CS",0.000115296591699177,NA,NA,134
"AGTR1",4.39355596961732e-05,NA,NA,135
"YWHAE",5.27209089691283e-05,NA,NA,136
"CTSD",0.000113197339652316,NA,NA,137
"ABCG2",4.86503972633168e-05,NA,NA,138
"CYP19A1",0.000105015150690835,NA,NA,139
"NPPA",6.87940324639591e-05,NA,NA,140
"HSPA1B",9.1516909711431e-05,NA,NA,141
"BTK",8.6796302197989e-05,NA,NA,142
"MAP1LC3B",7.2780883846546e-05,NA,NA,143
"PLG",8.89853153691611e-05,NA,NA,144
"PROM1",8.72252997797807e-05,NA,NA,145
"CYP1A2",3.79336865153901e-05,NA,NA,146
"ABCG2",4.86503972633168e-05,NA,NA,147
"SLC2A4",4.22233359866908e-05,NA,NA,148
"PROM1",8.72252997797807e-05,NA,NA,149
"TAC1",5.01508124960415e-05,NA,NA,150
"GRIN2A",3.25745715548109e-05,NA,NA,151
"ACACA",4.84337842884264e-05,NA,NA,152
"CALM1",9.49428996669388e-05,NA,NA,153
"CS",0.000115296591699177,NA,NA,154
"APOA1",5.65814467218262e-05,NA,NA,155
"SLC6A3",3.24894408255672e-05,NA,NA,156
"GJA1",9.53745200928946e-05,NA,NA,157
"IDO1",0.000131159025303029,NA,NA,158
"PPARD",6.49401391202842e-05,NA,NA,159
"IDO1",0.000131159025303029,NA,NA,160
"YWHAE",5.27209089691283e-05,NA,NA,161
"IDO1",0.000131159025303029,NA,NA,162
"PRL",0.000111829820473308,NA,NA,163
"CYP19A1",0.000105015150690835,NA,NA,164
"GRIN2A",3.25745715548109e-05,NA,NA,165
"CALM1",9.49428996669388e-05,NA,NA,166
"PLG",8.89853153691611e-05,NA,NA,167
"CYP1A2",3.79336865153901e-05,NA,NA,168
"AGTR1",4.39355596961732e-05,NA,NA,169
"PPARD",6.49401391202842e-05,NA,NA,170
"MAP1LC3B",7.2780883846546e-05,NA,NA,171
"YWHAZ",9.83771752601781e-05,NA,NA,172
"PPARD",6.49401391202842e-05,NA,NA,173
"NTRK2",8.5086986117977e-05,NA,NA,174
"MMP1",0.00112568778632216,NA,NA,175
"YWHAZ",9.83771752601781e-05,NA,NA,176
"GJA1",9.53745200928946e-05,NA,NA,177
"ABCB1",6.2153768681128e-05,NA,NA,178
"NPPA",6.87940324639591e-05,NA,NA,179
