"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"CD163",3.10749728952286e-05,NA,NA,1
"CCNB1",3.42911317940953e-06,NA,NA,2
"FOXM1",4.56473397145718e-05,NA,NA,3
"INSR",2.89317101048736e-05,NA,NA,4
"BMP4",2.55032421910828e-05,NA,NA,5
"NOS1",3.27904871741946e-05,NA,NA,6
"POU5F1",2.91482304103363e-05,NA,NA,7
"ATF6",3.94325028519882e-05,NA,NA,8
"RXRA",4.69340855130396e-05,NA,NA,9
"THBS1",3.25770080857879e-05,NA,NA,10
"PTK2",1.71454740317545e-05,NA,NA,11
"NTRK1",2.82901412894665e-05,NA,NA,12
"RAC1",3.00029977275962e-05,NA,NA,13
"HDAC6",2.03595609902241e-05,NA,NA,14
"CCNB1",3.42911317940953e-06,NA,NA,15
"ATF6",3.94325028519882e-05,NA,NA,16
"CDH5",5.15640074961743e-05,NA,NA,17
"AFP",3.85757209503401e-05,NA,NA,18
"CCNA2",1.17875613968588e-05,NA,NA,19
"PRKDC",4.75736434669694e-05,NA,NA,20
"PRKCB",3.04319119845964e-05,NA,NA,21
"PTK2",1.71454740317545e-05,NA,NA,22
"CDH5",5.15640074961743e-05,NA,NA,23
"FABP4",2.27164775307154e-05,NA,NA,24
"HDAC4",5.44348967649322e-05,NA,NA,25
"NTRK1",2.82901412894665e-05,NA,NA,26
"RXRA",4.69340855130396e-05,NA,NA,27
"CYP7A1",4.35031253905871e-05,NA,NA,28
"NOS2",3.943477620727e-05,NA,NA,29
"RXRA",4.69340855130396e-05,NA,NA,30
"CRH",2.57165961677908e-05,NA,NA,31
"C3",4.07174901805307e-05,NA,NA,32
"BMP4",2.55032421910828e-05,NA,NA,33
"RAC1",3.00029977275962e-05,NA,NA,34
"CDH5",5.15640074961743e-05,NA,NA,35
"CRH",2.57165961677908e-05,NA,NA,36
"DPP4",3.42910215563874e-05,NA,NA,37
"CCNB1",3.42911317940953e-06,NA,NA,38
"AURKA",2.29303465671959e-05,NA,NA,39
"ACE2",4.28639055607416e-05,NA,NA,40
"AURKA",2.29303465671959e-05,NA,NA,41
"SREBF2",8.35780240748818e-06,NA,NA,42
"NOS2",3.943477620727e-05,NA,NA,43
"ATF6",3.94325028519882e-05,NA,NA,44
"DNMT1",1.58598727937331e-05,NA,NA,45
"TOP2A",3.90027101331292e-05,NA,NA,46
"NOS1",3.27904871741946e-05,NA,NA,47
"HDAC3",2.55026901712085e-05,NA,NA,48
"PTK2B",4.84330888517182e-05,NA,NA,49
"CYP7A1",4.35031253905871e-05,NA,NA,50
"MAPK9",2.50741756256945e-05,NA,NA,51
"MAP3K5",2.76464488140338e-05,NA,NA,52
"LYN",2.9576202592474e-05,NA,NA,53
"INSR",2.89317101048736e-05,NA,NA,54
"VTN",9.42953984350847e-06,NA,NA,55
"PRKCB",3.04319119845964e-05,NA,NA,56
"DDIT3",2.10017698503151e-05,NA,NA,57
"SREBF2",8.35780240748818e-06,NA,NA,58
"XBP1",1.7144786912171e-05,NA,NA,59
"PRKDC",4.75736434669694e-05,NA,NA,60
"BMP4",2.55032421910828e-05,NA,NA,61
"VIM",2.89333222802668e-05,NA,NA,62
"NLRP3",2.97902228266755e-05,NA,NA,63
"AFP",3.85757209503401e-05,NA,NA,64
"ATF6",3.94325028519882e-05,NA,NA,65
"SOX9",2.97905867492343e-05,NA,NA,66
"BGLAP",4.75758252550529e-05,NA,NA,67
"SIRT3",3.21461998868955e-05,NA,NA,68
"PTK2B",4.84330888517182e-05,NA,NA,69
"PTK2B",4.84330888517182e-05,NA,NA,70
"NOX4",2.03601980525159e-05,NA,NA,71
"ATF6",3.94325028519882e-05,NA,NA,72
"ATF6",3.94325028519882e-05,NA,NA,73
"HDAC3",2.55026901712085e-05,NA,NA,74
"HDAC3",2.55026901712085e-05,NA,NA,75
"HDAC4",5.44348967649322e-05,NA,NA,76
"AFP",3.85757209503401e-05,NA,NA,77
"ACE2",4.28639055607416e-05,NA,NA,78
"SYP",4.05056094484602e-05,NA,NA,79
"FOXM1",4.56473397145718e-05,NA,NA,80
"FABP4",2.27164775307154e-05,NA,NA,81
"HDAC2",1.05017018764419e-05,NA,NA,82
"HDAC6",2.03595609902241e-05,NA,NA,83
"BMP4",2.55032421910828e-05,NA,NA,84
"INSR",2.89317101048736e-05,NA,NA,85
"BMP4",2.55032421910828e-05,NA,NA,86
"C3",4.07174901805307e-05,NA,NA,87
"AFP",3.85757209503401e-05,NA,NA,88
"SYP",4.05056094484602e-05,NA,NA,89
"DDIT3",2.10017698503151e-05,NA,NA,90
"AURKA",2.29303465671959e-05,NA,NA,91
"NOX4",2.03601980525159e-05,NA,NA,92
"GDNF",4.43617653551609e-05,NA,NA,93
"MAPK9",2.50741756256945e-05,NA,NA,94
"NLRP3",2.97902228266755e-05,NA,NA,95
"CCNB1",3.42911317940953e-06,NA,NA,96
"CDH5",5.15640074961743e-05,NA,NA,97
"SIRT3",3.21461998868955e-05,NA,NA,98
"SOX9",2.97905867492343e-05,NA,NA,99
"C3",4.07174901805307e-05,NA,NA,100
"LYN",2.9576202592474e-05,NA,NA,101
"NOS2",3.943477620727e-05,NA,NA,102
"SREBF2",8.35780240748818e-06,NA,NA,103
"HDAC6",2.03595609902241e-05,NA,NA,104
"PTK2B",4.84330888517182e-05,NA,NA,105
"DPP4",3.42910215563874e-05,NA,NA,106
"CD163",3.10749728952286e-05,NA,NA,107
"INSR",2.89317101048736e-05,NA,NA,108
"NOS1",3.27904871741946e-05,NA,NA,109
"MAP3K5",2.76464488140338e-05,NA,NA,110
"ACE2",4.28639055607416e-05,NA,NA,111
"CYP7A1",4.35031253905871e-05,NA,NA,112
"DNMT1",1.58598727937331e-05,NA,NA,113
"CRH",2.57165961677908e-05,NA,NA,114
"BMP4",2.55032421910828e-05,NA,NA,115
"VTN",9.42953984350847e-06,NA,NA,116
"NOS1",3.27904871741946e-05,NA,NA,117
